formula_pretty,FM/AFM,,
IrF2,,,
Ba2Sb,,,
TlS,,,
MoCl2,,,6352
IrO2,,,86
RuI2,,,
TcTe2,,,
TcSe2,,,
AuBr,,,
SiBr4,,,
SrO2,,,
TaCl4,,,
SnCl4,,,
Ti3Se2,,,
MoF2,,,
IrS2,,,
HfBr2,,,
AuSe,,,
HfCl2,,,
Al2S5,,,
TaI3,,,
Li2O,,,
TlSb,,,
CdBr2,,,
VBr4,FM,,
AlSb3,,,
Al4O3,,,
Mo3S4,,,
SBr,,,
Sb2C,,,
AlF3,,,
MoBr3,,,
B2O3,,,
GaSb3,,,
AlI,,,
SiI4,,,
SiCl4,,,
Nd2Se5,,,
AlF,,,
YSi3,,,
MoBr2,,,
Ba2As,,,
BeF2,,,
GaAs,,,
TiI2,,,
Mg2Sb,,,
HfPb2,,,
BBr,,,
RuC2,,,
HfCl,,,
P2Pt,,,
BBr3,,,
TiPb2,,,
Al2O3,,,
HfF2,,,
YbF2,,,
AlTe,,,
NdC2,,,
TlS,,,
NiSb2,,,
GeSe,,,
AgCl,,,
TmCl2,,,
NbBr2,,,
AgF,,,
GeBr2,,,
NdSe3,,,
SiBr2,,,
InBr,,,
AgTe,,,
PdS2,,,
TeAu,,,
NiP2,,,
PtCl2,,,
BN3,,,
TiS5,,,
BI,,,
RhPb4,,,
NCl4,,,
Ca2P,,,
BAs,,,
Tl2Ru,,,
SiN,,,
GdCl3,,,
RhI3,,,
GaTe,,,
TiZn,,,
PO2,,,
AgS,,,
BeCl2,,,
ZrBr3,,,
PO2,,,
RhI2,,,
TeC,,,
Sc2Pb,,,
Cu2S,,,
YbBr2,,,
SmSe3,,,
TiSe5,,,
US3,,,
TlAs,,,
PBr4,,,
AlCl,,,
Ge2Ru,,,
TcI3,,,
ThBr4,,,
N2O3,,,
PdF2,,,
Te2Pb,,,
InF3,,,
Be5Co,,,
Sc2F3,,,
TaCl2,,,
SnBi,,,
InI,,,
SiSe,,,
In2O,,,
Sr5Co,,,
YPb3,,,
TlF3,,,
TaBr2,,,
Sn3H,,,
GeH,,,
TbBr3,,,
SiCl2,,,
SiCl3,,,
Ca5La,,,
SeBr,,,
CN2,,,
MoF3,,,
AlTe,,,
RuS,,,
NbTe,,,
NiSb2,,,
GeO,,,
Bi2Te3,,,
CdF2,,,
MoSe2,,,
Ga4Te3,,,
MgPb2,,,
Ca5Y,,,
Mg2P,,,
AlI3,,,
InTe,,,
ZrSe5,,,
UBr3,,,
SiTe,,,
PdF2,,,
PbSe,,,
TcBr3,,,
ScBr3,,,
ZrI3,,,
NpF3,,,
CBr2,,,
NO2,,,
SnSe,,,
CaAu,,,
SnSb,,,
TlCl3,,,
P2S3,,,
BePb2,,,
MnSe2,,,
ZnBr2,,,
NbF3,,,
Br3N,,,
InCl,,,
WCl4,,,
B4Te3,,,
Sb4Br,,,
