bandgap,number_of_magnetic_atoms,Cr,max ionic char,V,Mn,avg d valence electrons,O,frac s valence electrons,energy_per_atom,decomposition_energy,Yang omega,Yang delta,Mo,band center,Ag,W,avg ionic char,fmafm
0,0,0,0.357394967,0.2,0,8.6,0,0.136986301,-3.685382164,0.058543826,2701062.874,0.21184401,0,-2.627065431,0,0,0.057183195,1
1.0747,0,0.25,0.221199217,0,0,8.75,0,0.122807018,-3.976104804,0,3904480.265,0.21184401,0,-2.364221974,0,0,0.041474853,1
0,0,0.2,0.430217175,0,0,1,0,0.264705882,-4.17368677,0.006570382,2385043.011,0.21184401,0,-2.778249748,0,0,0.068834748,1
0.7127,1,0,0.240902461,0,0,9.333333333,0,0.136363636,-3.302485151,0.072388096,3985918.429,0.21184401,0,-2.557833453,0,0,0.05353388,1
0,1,0,0.097331588,0,0,9,0,0.153846154,-4.88102444,0.267288119,6402499.307,0.032786885,0,-2.206920932,0,0,0.024332897,1
0,0,0,0.053727787,0.25,0,8.25,0,0.150943396,-4.812582363,0.056908839,5085484.589,0.018758673,0,-1.971112319,0,0,0.01007396,1
0,0,0,0.053727787,0.333333333,0,7.666666667,0,0.162162162,-5.424031001,0.021152226,6400330.834,0.020495849,0,-1.929932255,0,0,0.011939508,1
0.1137,0,0,0.327598738,0,0,3.333333333,0,0.2,-3.055643622,0.031549218,3000499.057,0.21184401,0,-2.667120201,0,0,0.072799719,1
2.0461,0,0,0.13776291,0,0,5,0,0.210526316,-4.175726163,0.056385912,1991834.247,0.130801688,0,-2.160972004,0,0,0.034440728,1
0.7441,1,0,0.323366154,0,0,2.666666667,0,0.25,-3.651508355,0.083713495,3653582.16,0.21184401,0,-2.671791174,0,0,0.071859145,1
0.0436,0,0,0.043141733,0,0,1.666666667,0,0.277777778,-7.050093,0.186293328,6478652.12,0.147570111,0.333333333,-2.431631278,0,0,0.009587052,1
0,0,0,0.053727787,0.25,0,8.25,0,0.150943396,-4.820899814,0.048591389,5085484.589,0.018758673,0,-1.971112319,0,0,0.01007396,1
0,0,0.333333333,0.221199217,0,0,8.333333333,0,0.125,-4.418893477,0.109133633,5210305.922,0.21184401,0,-2.273127453,0,0,0.049155382,0
0.0106,0,0,0.232966652,0.272727273,0,8.090909091,0,0.145695364,-4.074359029,0,4270984.834,0.21184401,0,-2.327416845,0,0,0.046208262,1
0,0,0,0.269188706,0,0,8,0,0.145454545,-3.882663179,0.032074711,3625133.815,0.21184401,0,-2.320285402,0,0,0.050472882,1
1.6791,0,0,0.097331588,0,0,10,0,0.1,-2.482608846,0.114264639,1992768.744,0.21184401,0,-2.483127787,0,0,0.018249673,1
0,0,0.2,0.344593746,0,0,9,0,0.121621622,-3.739713108,0.137859184,2698566.667,0.21184401,0,-2.636665195,0,0,0.055134999,1
0,0,0,0.357394967,0.272727273,0,8.090909091,0,0.145695364,-4.556165245,0,3842105.999,0.21184401,0,-2.515515251,0,0,0.070888258,1
0.0014,0,0,0.48112901,0,0,0.5,0,0.32,-4.941406625,0.002622056,2870372.434,0.21184401,0,-2.64025268,0,0,0.090211689,1
1.8295,0,0,0.127942572,0,0,10,0,0.137931034,-3.838995221,0.012968584,2296226.698,0.063492063,0,-2.148371476,0,0,0.031985643,1
0,1,0,0.097331588,0,0,9,0,0.153846154,-4.901316008,0.018181254,6402499.307,0.032786885,0,-2.206920932,0,0,0.024332897,1
0,1,0,0.008984397,0,0,9,0,0.153846154,-4.88102444,0.267288119,7061363.165,0.052631579,0,-2.002748112,0,0,0.002246099,0
0.6828,1,0,0.131184944,0,0,9.333333333,0,0.136363636,-3.027509351,0.011866989,4412981.117,0.21184401,0,-2.381947656,0,0,0.02915221,1
0,0,0,0.190711652,0.333333333,0,7.666666667,0,0.162162162,-6.044888782,0.002942372,5593621.587,0.061155181,0,-2.196625336,0,0,0.042380367,1
2.7957,0,0.333333333,0.739616569,0,0,1.666666667,0,0.25,-6.23419972,0.089745482,4034251.835,0.21184401,0,-2.973660683,0,0,0.164359238,1
0,0,0,0.053727787,0.25,0,8.25,0,0.150943396,-4.794654729,0.074836473,5085484.589,0.018758673,0,-1.971112319,0,0,0.01007396,1
0,1,0,0.008984397,0,0,9,0,0.153846154,-4.577931948,0.074181545,7061363.165,0.052631579,0,-2.002748112,0,0,0.002246099,0
0,1,0,0.131184944,0,0,9.333333333,0,0.136363636,-2.858697347,0.180678993,4412981.117,0.21184401,0,-2.381947656,0,0,0.02915221,1
0,0,0,0.232966652,0.285714286,0,8,0,0.147368421,-3.99701444,0.10693877,4476789.667,0.21184401,0,-2.312660662,0,0,0.047544215,1
0,0,0,0.443019473,0.285714286,0,0.857142857,0,0.311111111,-4.963654479,0.147456098,3712035.113,0.21184401,0,-2.61543767,0,0,0.090412137,1
0,0,0,0.327598738,0,0,3.333333333,0,0.2,-3.013608213,0.073584627,3000499.057,0.21184401,0,-2.667120201,0,0,0.072799719,1
0,1,0,0.323366154,0,0,2.666666667,0,0.25,-3.436358245,0.298863605,3653582.16,0.21184401,0,-2.671791174,0,0,0.071859145,1
0,0,0,0.037311127,0,0,1.25,0,0.388888889,-7.909188765,1.763321025,0.334129499,0.290235541,0.25,-2.446349895,0,0,0.006995836,1
0,1,0,0.240902461,0,0,9.333333333,0,0.136363636,-3.109228247,0.265645,3985918.429,0.21184401,0,-2.557833453,0,0,0.05353388,1
