bandgap,number_of_magnetic_atoms,Cr,max ionic char,V,Mn,avg d valence electrons,O,frac s valence electrons,energy_per_atom,decomposition_energy,Yang omega,Yang delta,Mo,band center,Ag,W,avg ionic char,magnet
0,0,0,0.285662686,0,0,3.333333333,0,0.315789474,-3.243794087,0.300023063,0.080035116,0.160010852,0,-1.175379084,0,0,0.063480597,1
0.9814,0,0,0.205784147,0,0,5,0,0.121212121,-3.325672838,0.177411563,2781600.689,0.250909091,0,-2.044407004,0,0,0.051446037,0
0,0,0,0.009950166,0,0,8.333333333,0,0.153846154,-5.516883573,0.030885467,6836037.088,0.013598207,0,-2.031097306,0,0,0.002211148,1
0,0,0,0.100238004,0,0,8.333333333,0,0.153846154,-5.99244511,0,6029327.841,0.068429689,0,-2.311770162,0,0,0.022275112,1
2.9398,0,0,0.787757332,0,0,0,0.666666667,0.428571429,-5.656705807,0.091333993,2045526.204,0.615598845,0,-2.240165804,0,0,0.175057185,0
0,0,0,0.035456166,0,0,2.333333333,0,0.171428571,-5.919488483,0.179469925,6201705.23,0.136459203,0,-2.446549634,0,0,0.007879148,1
0,0,0,2.50E-05,0,0,10,0,0.073170732,-3.208430408,0.27418076,5276817.757,0.095785441,0,-2.544995088,0,0,6.25E-06,1
2.2099,0,0,0.209607009,0,0,0,0,0.388888889,-4.691438199,0,2706389.092,0.15077359,0,-2.254795623,0,0,0.042776941,0
1.9866,0,0,0.779729733,0,0,0,0.333333333,0.5,-4.566593737,0.187982327,1697278.719,0.338181504,0,-1.489373188,0,0,0.173273274,0
0,0,0,0.045172898,0,0,10,0,0.095238095,-2.903293088,0.351793054,4.26673849,0.051987768,0,-1.822361106,0,0,0.011293225,1
0.3897,0,0,0.04724739,0,0,7.5,0,0.166666667,-3.748482489,0.365245829,2.840068994,0.040014375,0,-1.929842493,0,0,0.008858886,0
0,0,0,0.567089816,0,0,0,0.428571429,0.466666667,-5.969454533,0.445216036,3161893.784,0.352825165,0,-2.229152771,0,0,0.138879139,0
0,0,0,0.043141733,0,0,2.142857143,0,0.261904762,-7.46193097,0.292449177,8306829.032,0.150431433,0.428571429,-2.390829371,0,0,0.010565322,1
0.1622,0,0,0.060586937,0,0,6.666666667,0,0.176470588,-5.04298359,0.783597921,0.859523196,0.285035292,0,-2.204698978,0,0,0.013463764,0
5.1866,0,0,0.387373606,0,0,0,0.6,0.416666667,-8.003926936,0.020691139,5439194.901,0.159749331,0,-2.791175424,0,0,0.092969665,0
0.3806,0,0,0.014296816,0,0,10,0,0.137931034,-3.637535051,0.297219959,4.697461851,0.060722983,0,-1.98717008,0,0,0.002680653,0
0,2,0,0.391662225,0,0,7.142857143,0,0.152173913,-5.229047568,0.021496173,3594079.939,0.212144413,0,-2.026023004,0,0,0.079931066,1
0,0,0,0.109168515,0,0,0.25,0,0.533333333,-5.121749878,0.989482962,0.146448608,0.234796671,0,-1.700807485,0,0,0.020469097,1
0,0,0,0.340336221,0,0,3.333333333,0,0.315789474,-3.541110347,0.197651678,0.09291031,0.272255017,0,-1.199717063,0,0,0.075630271,1
0,0,0,0.127942572,0,0,3.333333333,0,0.315789474,-2.249342127,0.498653412,0.341057284,0.014886459,0,-1.520893548,0,0,0.028431683,1
0,0,0,0.232966652,0,0,7.333333333,0,0.081081081,-5.371807695,0.426470822,0.319867331,0.044718215,0,-1.918161036,0,0,0.051770367,1
0,0,0,0.030160805,0,0,2.333333333,0,0.3125,-7.313404407,1.928194443,0.581342771,0.279896434,0,-2.427547187,0,0,0.006702401,1
0,0,0,0.002022951,0,0,3,0,0.147058824,-5.60485006,0.709564253,0.153927557,0.15255365,0,-2.219598174,0,0,0.000449545,1
0,0,0,0.144462198,0,0,7.333333333,0,0.1,-4.656251232,0.478890747,0.779463825,0.092356804,0,-2.02960187,0,0,0.032102711,1
3.6148,0,0,0.567089816,0,0,0,0.6,0.416666667,-6.898417354,0.58288017,2273239.686,0.397912891,0,-2.539015873,0,0,0.136101556,0
1.7839,0,0,0.05825901,0,0,5,0,0.210526316,-3.818966655,0.000992193,4771994.229,0.003558719,0,-1.838749575,0,0,0.014564753,0
0,1,0,0.391662225,0,0,0,0,0.428571429,-7.21758683,0.660336897,0.152942749,0.441941738,0,-1.949822469,0,0,0.08703605,1
0.7934,0,0,0.205784147,0,0,5,0,0.121212121,-3.355659218,0.147425183,2781600.689,0.250909091,0,-2.044407004,0,0,0.051446037,0
0,1,0,0.004888015,0,0,9.333333333,0,0.15,-4.663858543,0.212637962,7.016290706,0.094064664,0,-2.002228765,0,0,0.001086225,1
0,1,0,0.391662225,0,0,7.5,0,0.148148148,-5.011565015,0.018848184,3244626.548,0.206812037,0,-2.085121413,0,0,0.073436667,1
0.1035,0,0,0.007198962,0,0,10,0,0.111111111,-2.88947475,0.145487539,5640624.941,0.014084507,0,-2.013206398,0.5,0,0.001799741,0
1.0868,0,0,0.035456166,0,0,3.333333333,0,0.181818182,-4.62745122,0.12208437,4594795.869,0.158489451,0,-2.446549634,0,0,0.007879148,0
0,0,0,0.04724739,0,0,10,0,0.073170732,-3.06394447,0.206756355,5935681.615,0.010600707,0,-2.30954541,0,0,0.011811848,0
0,1,0,0.019409169,0,0,2.666666667,0,0.3,-5.49633441,0.407832037,0.135900316,0.102851895,0,-2.092379866,0,0,0.004313149,1
1.2639,0,0,0.221199217,0,0,0,0,0.444444444,-7.587538681,0.782505796,0.141212163,0.091160569,0,-2.751456997,0,0,0.041474853,0
0.1325,0,0,0.236925796,0,0,0.333333333,0,0.352941176,-5.311433722,0,2424139.393,0.132734629,0,-2.367390361,0,0,0.032906361,1
0,0,0,0.298142579,0,0,0,0,0.666666667,-3.771297243,0.101613606,0.062025725,0.27779195,0,-1.29861786,0,0,0.066253907,1
0,0,0,0.004888015,0,0,5,0,0.222222222,-5.08402426,0.683584585,0.990629731,0.133004926,0,-2.108838543,0,0,0.001222004,1
0,0,0,0.080660682,0,0,9,0,0.080645161,-4.01622531,0.654030722,0.310986441,0.11242702,0,-1.793979888,0,0,0.017924596,1
1.4729,0,0,0.27740039,0,0,0,0,0.444444444,-7.404594581,0.432652719,0.062254525,0.208791209,0,-2.403331022,0,0,0.069350098,0
0.9947,0,0,0.020805516,0,0,10,0,0.137931034,-3.391271458,0.06329639,2955090.556,0.02189781,0,-1.949615347,0,0,0.005201379,0
